a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2021,3663,ARBC,3,3,1,SUN,24,10,20,22,308800,357936,13,40, , , , , , , , , , 
2021,3664,CCGL,3,2,1,SUN,24,10,22,0,267189,432623,13,60, , , , , , , , , , 
2021,3665,NEMD,3,1,1,SUN,24,10,23,45,339290,348022,13,60, , , , , , , , , , 
2021,3666,DCST,3,2,1,MON,25,10,8,28,241557,420502,1,40, , , , , , , , , , 
2021,3667,ARND,3,2,1,MON,25,10,8,40,344992,370126,13,60, , , , , , , , , , 
2021,3668,MIDU,3,2,2,MON,25,10,9,46,286100,366546,13,60, , , , , , , , , , 
2021,3669,NEMD,3,2,1,MON,25,10,9,55,351605,342568,13,60, , , , , , , , , , 
2021,3670,NEMD,2,2,1,MON,25,10,10,45,335686,354135,13,60,10,7,1,1,2,1,2,1,1,1
2021,3671,BELC,3,3,1,MON,25,10,11,14,336556,374240,13,30, , , , , , , , , , 
2021,3672,MIDU,3,1,1,MON,25,10,11,33,280561,376938,13,30, , , , , , , , , , 
2021,3673,BELC,3,2,1,TUE,19,10,19,5,332631,370575,13,30, , , , , , , , , , 
2021,3674,FERO,3,2,2,MON,25,10,12,41,223726,346114,13,40, , , , , , , , , , 
2021,3675,LISC,3,2,2,MON,25,10,13,20,330216,361480,13,60, , , , , , , , , , 
2021,3676,CCGL,2,2,2,MON,25,10,13,50,267951,421796,13,30,10,7,1,1,1,1,1,1,1,1
2021,3677,MEAN,3,2,1,MON,25,10,14,4,311741,402105,13,30, , , , , , , , , , 
2021,3678,FERO,3,2,3,MON,25,10,15,4,238100,366315,13,60, , , , , , , , , , 
2021,3679,ANTN,3,2,1,SUN,24,10,14,30,334073,380474,13,30, , , , , , , , , , 
2021,3680,CCGL,3,3,4,MON,25,10,15,56,285300,437373,13,60, , , , , , , , , , 
2021,3681,MEAN,2,2,1,MON,25,10,17,5,310391,403421,13,30,2,7,1,1,1,1,1,1,1,1
2021,3682,CCGL,3,2,2,MON,25,10,18,42,324222,432946,13,60, , , , , , , , , , 
2021,3683,ARND,3,2,2,MON,25,10,18,0,350070,379739,11,40, , , , , , , , , , 
2021,3684,ANTN,3,3,1,MON,25,10,19,12,319740,377890,1,60, , , , , , , , , , 
2021,3685,NEMD,3,2,1,MON,25,10,19,30,347662,343169,13,60, , , , , , , , , , 
2021,3686,ARBC,2,1,1,MON,25,10,20,16,286517,345631,13,30,8,7,1,1,4,1,1,1,1,1
2021,3687,ARBC,3,3,2,MON,25,10,20,41,314273,345739,11,60, , , , , , , , , , 
2021,3688,ARBC,2,2,4,TUE,26,10,4,45,302676,356763,13,40,1,1,1,1,4,2,2,1,1,1
2021,3689,ARBC,3,1,1,TUE,26,10,6,26,302127,347938,13,60, , , , , , , , , , 
2021,3690,MIDU,3,1,1,TUE,26,10,8,59,281068,378235,13,30, , , , , , , , , , 
2021,3691,MIDU,3,2,1,TUE,26,10,9,15,279730,362111,13,30, , , , , , , , , , 
2021,3692,ARBC,3,2,1,TUE,26,10,11,43,307575,358339,13,30, , , , , , , , , , 
2021,3693,MEAN,3,3,4,TUE,26,10,13,58,314939,400456,13,60, , , , , , , , , , 
2021,3694,LISC,3,1,1,TUE,26,10,15,30,341863,373525,13,30, , , , , , , , , , 
2021,3695,ARBC,3,2,1,TUE,26,10,15,56,279343,351644,13,60, , , , , , , , , , 
2021,3696,ANTN,2,2,1,TUE,26,10,17,15,335739,382668,13,40,10,7,1,1,1,1,1,1,1,1
2021,3697,BELC,3,2,1,TUE,26,10,17,40,332061,372906,13,30, , , , , , , , , , 
2021,3698,ARND,2,1,1,TUE,26,10,21,2,339577,379127,11,40,1,1,1,1,4,1,1,1,1,1
2021,3699,ARBC,3,2,1,TUE,26,10,22,20,320384,353483,13,30, , , , , , , , , , 
2021,3700,ARBC,3,1,1,WED,27,10,3,0,303700,351624,13,60, , , , , , , , , , 
2021,3701,LISC,3,1,1,WED,27,10,4,32,315834,370810,13,40, , , , , , , , , , 
2021,3702,ARND,3,1,1,WED,27,10,7,55,348362,374585,13,30, , , , , , , , , , 
2021,3703,FERO,3,2,5,WED,27,10,10,6,228999,351869,13,60, , , , , , , , , , 
2021,3704,CCGL,3,2,2,WED,27,10,10,59,285512,438242,13,30, , , , , , , , , , 
2021,3705,MIDU,3,1,1,WED,27,10,11,30,289724,390558,13,30, , , , , , , , , , 
2021,3706,ARBC,2,2,3,WED,27,10,12,45,294828,352692,13,60,6,4,1,1,2,1,2,1,1,1
2021,3707,BELC,3,2,2,WED,27,10,14,13,333363,375913,13,30, , , , , , , , , , 
2021,3708,BELC,3,2,1,TUE,19,10,19,45,338779,373961,13,30, , , , , , , , , , 
2021,3709,DCST,3,2,1,WED,27,10,16,15,246276,418245,11,40, , , , , , , , , , 
2021,3710,MIDU,3,5,4,WED,27,10,17,17,263268,356681,11,70, , , , , , , , , , 
2021,3711,ANTN,3,1,2,WED,27,10,19,21,332179,385223,13,40, , , , , , , , , , 
2021,3712,ARBC,3,2,1,WED,27,10,19,55,302982,355400,1,40, , , , , , , , , , 
2021,3713,ARBC,3,2,3,WED,27,10,20,0,315838,341738,13,60, , , , , , , , , , 
2021,3714,NEMD,1,1,1,WED,27,10,20,30,348339,344012,13,30,10,7,1,1,4,2,2,1,1,1
2021,3715,NEMD,3,3,1,THU,28,10,7,54,308366,326759,13,30, , , , , , , , , , 
2021,3716,BELC,3,1,1,WED,27,10,20,30,329680,371242,13,30, , , , , , , , , , 
2021,3717,ARND,3,2,2,THU,28,10,8,41,343510,365444,13,60, , , , , , , , , , 
2021,3718,DCST,3,2,3,THU,28,10,14,10,246487,417086,13,30, , , , , , , , , , 
2021,3719,BELC,3,2,2,THU,28,10,15,30,331783,372710,12,70, , , , , , , , , , 
2021,3720,BELC,3,2,1,THU,28,10,15,28,334029,375226,11,30, , , , , , , , , , 
2021,3721,LISC,3,1,1,THU,28,10,15,35,326534,363921,13,30, , , , , , , , , , 
2021,3722,DCST,3,2,1,FRI,15,10,16,45,248007,412296,13,60, , , , , , , , , , 
2021,3723,CCGL,1,2,2,THU,28,10,16,37,298782,443228,13,60,1,1,1,1,2,1,1,1,1,1
2021,3724,ARND,3,2,1,THU,28,10,16,8,351722,380579,11,30, , , , , , , , , , 
2021,3725,NEMD,3,1,1,THU,28,10,17,20,311879,331170,13,60, , , , , , , , , , 
2021,3726,LISC,3,2,2,THU,28,10,18,45,326381,365499,13,5, , , , , , , , , , 
2021,3727,ANTN,3,2,2,THU,28,10,17,30,330338,382959,13,30, , , , , , , , , , 
